2019-05-13,22:35,pause
2019-05-13,23:05,sleep
2019-05-14,07:20,prep
2019-05-14,08:30,math
2019-05-14,10:00,math
2019-05-14,11:30,prep
2019-05-14,11:55,cook
2019-05-14,12:12,eat
2019-05-14,13:55,eat
2019-05-14,14:45,work
2019-05-14,16:14,math
2019-05-14,20:12,pause
2019-05-14,21:13,pause
2019-05-14,22:30,prep
2019-05-14,23:17,sleep
2019-05-15,05:45,prep
2019-05-15,06:25,work
2019-05-15,07:40,prep
2019-05-15,08:36,sleep
2019-05-15,12:45,prep
2019-05-15,12:55,cook
2019-05-15,13:17,eat
2019-05-15,14:06,work
2019-05-15,15:40,meditation
2019-05-15,16:40,prep
2019-05-15,17:11,work
2019-05-15,17:50,math
2019-05-15,20:21,pause
2019-05-15,21:00,prep
2019-05-15,22:00,prep
2019-05-15,23:00,sleep
2019-05-16,05:40,prep
2019-05-16,05:49,math
2019-05-16,07:57,music
2019-05-16,08:50,uni
2019-05-16,11:23,music
2019-05-16,11:49,cook
2019-05-16,12:00,eat
2019-05-16,14:30,prep
2019-05-16,15:00,work
2019-05-16,16:30,prep
2019-05-16,17:00,prep
2019-05-16,17:30,special
2019-05-17,05:40,music
2019-05-17,06:24,sleep
2019-05-17,10:50,prep
2019-05-17,14:00,prep
2019-05-17,15:35,cook
2019-05-17,15:52,eat
2019-05-17,16:40,sleep
2019-05-17,18:35,prep
2019-05-17,20:30,music
2019-05-17,22:40,sleep
2019-05-18,07:55,prep
2019-05-18,08:40,math
2019-05-18,09:25,prep
2019-05-18,09:40,uni
2019-05-18,11:55,music
2019-05-18,12:30,cook
2019-05-18,12:45,eat
2019-05-18,13:15,uni
2019-05-18,14:30,prep
2019-05-18,15:00,math
2019-05-18,18:45,cook
2019-05-18,19:15,math
2019-05-18,20:00,eat
2019-05-18,21:00,prep
2019-05-18,22:00,pause
2019-05-18,23:24,sleep
2019-05-19,07:38,prep
2019-05-19,10:20,uni
2019-05-19,11:40,cook
2019-05-19,11:55,eat
2019-05-19,14:05,math
2019-05-19,14:56,sleep
2019-05-19,16:04,prep
2019-05-19,16:10,work
2019-05-19,18:10,cook
2019-05-19,18:37,eat
2019-05-19,19:45,work
2019-05-19,20:15,pause
2019-05-19,21:00,prep
2019-05-19,23:10,sleep
2019-05-20,05:55,prep
2019-05-20,08:00,uni
2019-05-20,10:00,math
2019-05-20,10:45,work
2019-05-20,12:11,music
2019-05-20,12:50,cook
2019-05-20,13:05,eat
2019-05-20,13:54,work
2019-05-20,15:24,prep
2019-05-20,16:50,work
2019-05-20,17:05,pause
2019-05-20,18:30,work
2019-05-20,20:30,pause
2019-05-20,23:05,sleep
2019-05-21,10:00,prep
2019-05-21,10:30,uni
2019-05-21,13:30,cook
2019-05-21,13:52,eat
2019-05-21,15:22,music
2019-05-21,16:02,math
2019-05-21,17:18,work
2019-05-21,19:40,prep
2019-05-21,20:05,eat
2019-05-21,21:30,prep
2019-05-21,23:00,sleep
2019-05-22,05:50,prep
2019-05-22,07:10,math
2019-05-22,08:10,prep
2019-05-22,08:30,uni
2019-05-22,10:00,math
2019-05-22,12:00,prep
2019-05-22,12:35,cook
2019-05-22,12:50,eat
2019-05-22,15:15,prep
2019-05-22,15:34,uni
2019-05-22,16:10,math
2019-05-22,18:38,work
2019-05-22,19:43,cook
2019-05-22,19:55,eat
2019-05-22,20:45,pause
2019-05-22,21:30,prep
2019-05-22,23:15,sleep
2019-05-23,06:45,prep
2019-05-23,07:15,work
2019-05-23,08:00,prep
2019-05-23,10:40,music
2019-05-23,11:43,cook
2019-05-23,11:57,eat
2019-05-23,13:15,sleep
2019-05-23,14:45,prep
2019-05-23,15:00,uni
2019-05-23,16:15,math
2019-05-23,18:35,work
2019-05-23,19:15,cook
2019-05-23,19:30,work
2019-05-23,20:20,pause
2019-05-23,21:44,pause
2019-05-23,22:15,meditation
2019-05-23,22:30,sleep
2019-05-24,02:00,prep
2019-05-24,02:15,work
2019-05-24,03:52,music
2019-05-24,04:43,work
2019-05-24,05:15,sleep
2019-05-24,06:25,prep
2019-05-24,06:38,work
2019-05-24,07:35,math
2019-05-24,08:08,prep
2019-05-24,08:30,uni
2019-05-24,09:45,prep
2019-05-24,11:05,cook
2019-05-24,11:19,eat
2019-05-24,13:00,prep
2019-05-24,19:25,cook
2019-05-24,19:38,eat
2019-05-24,20:15,pause
2019-05-24,20:45,pause
2019-05-24,21:38,cook
2019-05-24,22:30,prep
2019-05-24,22:45,pause
2019-05-24,23:47,sleep
2019-05-25,06:46,prep
2019-05-25,08:45,uni
2019-05-25,12:40,cook
